Date: 2013-05-10 Time: 15:14:52

Log statistics for channel: 0
Data frames: 10532
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	8692	8,0291	Std	211	6	[02, 03, 01, EB, 87, 38]
0	8693	8,0295	Std	80	1	[01]
0	8694	8,0297	Std	8	1	[03]
0	8695	8,0299	Std	10	6	[00, 03, 01, EB, 8D, 7F]
0	8696	8,0337	Std	281	4	[01, D7, A7, 5D]
0	8697	8,0338	Std	0	1	[55]
0	8698	8,0341	Std	211	6	[01, 03, 01, EB, 88, 91]
0	8699	8,0346	Std	8	1	[03]
0	8700	8,0348	Std	10	6	[00, 03, 01, EB, 8E, D6]
0	8701	8,0387	Std	281	4	[01, D7, A7, 5D]
0	8702	8,0388	Std	0	1	[55]
0	8703	8,0391	Std	211	6	[02, 03, 01, EB, 89, E8]
0	8704	8,0395	Std	8	1	[03]
0	8705	8,0397	Std	10	6	[00, 03, 01, EB, 90, 2E]
0	8706	8,0437	Std	281	4	[01, D7, A7, 5D]
0	8707	8,0438	Std	0	1	[55]
0	8708	8,0441	Std	211	6	[01, 03, 01, EB, 8B, 3E]
0	8709	8,0445	Std	209	3	[03, FF, FF]
0	8710	8,0446	Std	8	1	[03]
0	8711	8,0448	Std	10	6	[00, 03, 01, EB, 91, 85]
0	8712	8,0487	Std	281	4	[01, D7, A7, 5D]
0	8713	8,0488	Std	0	1	[55]
0	8714	8,0491	Std	211	6	[02, 03, 01, EB, 8C, 93]
0	8715	8,0495	Std	8	1	[03]
0	8716	8,0497	Std	10	6	[00, 03, 01, EB, 92, DC]
0	8717	8,0537	Std	281	4	[01, D7, A7, 5D]
0	8718	8,0538	Std	0	1	[55]
0	8719	8,0541	Std	211	6	[01, 03, 01, EB, 8D, EB]
0	8720	8,0546	Std	8	1	[03]
0	8721	8,0548	Std	10	6	[00, 03, 01, EB, 94, 33]
0	8722	8,0587	Std	281	4	[01, D7, A7, 5D]
0	8723	8,0588	Std	0	1	[55]
0	8724	8,0591	Std	211	6	[02, 03, 01, EB, 8F, 41]
0	8725	8,0595	Std	8	1	[03]
0	8726	8,0597	Std	10	6	[00, 03, 01, EB, 95, 8A]
0	8727	8,0637	Std	281	4	[01, D7, A7, 5D]
0	8728	8,0638	Std	0	1	[55]
0	8729	8,0641	Std	211	6	[01, 03, 01, EB, 90, 99]
0	8730	8,0646	Std	8	1	[03]
0	8731	8,0648	Std	10	6	[00, 03, 01, EB, 96, E2]
0	8732	8,0649	Std	209	3	[03, FF, FF]
0	8733	8,0687	Std	281	4	[01, D8, A7, 5E]
0	8734	8,0688	Std	0	1	[55]
0	8735	8,0691	Std	211	6	[02, 03, 01, EB, 91, F1]
0	8736	8,0695	Std	8	1	[03]
0	8737	8,0697	Std	10	6	[00, 03, 01, EB, 98, 39]
0	8738	8,0737	Std	281	4	[01, D7, A7, 5D]
0	8739	8,0738	Std	0	1	[55]
0	8740	8,0741	Std	211	6	[00, 03, 01, EB, 93, 4A]
0	8741	8,0746	Std	8	1	[03]
0	8742	8,0748	Std	10	6	[00, 03, 01, EB, 99, 90]
0	8743	8,0787	Std	281	4	[01, D7, A7, 5D]
0	8744	8,0788	Std	0	1	[55]
0	8745	8,0791	Std	211	6	[02, 03, 01, EB, 94, A1]
0	8746	8,0795	Std	8	1	[03]
0	8747	8,0797	Std	10	6	[00, 03, 01, EB, 9A, E7]
0	8748	8,0837	Std	281	4	[01, D7, A7, 5D]
0	8749	8,0838	Std	0	1	[55]
